multiplier,generation,strategy,share
Constant(1),24,TfT,0.1510702413396531
Constant(1),24,SuspiciousTfT,0.0011620084040822646
Constant(1),24,TFT2,0.15640892381492785
Constant(1),24,Grim,0.12476106344844874
Constant(1),24,GenerousTfT,0.16200156538356839
Constant(1),24,ContriteTfT,0.15107024133965305
Constant(1),24,Pavlov,0.1266505620036541
Constant(1),25,AllC,0.12633882019293816
Constant(1),25,AllD,1.3428020119010271e-06
Constant(1),25,Random,0.00046347761252859117
Constant(1),25,TfT,0.1511239299703656
Constant(1),25,SuspiciousTfT,0.0009591314549716406
Constant(1),25,TFT2,0.1564834035696319
Constant(1),25,Grim,0.12474974693906743
Constant(1),25,GenerousTfT,0.1620854847435319
Constant(1),25,ContriteTfT,0.15112392997036556
Constant(1),25,Pavlov,0.12667073274458723
Constant(1),26,AllC,0.12637969595492118
Constant(1),26,AllD,8.265940709657838e-07
Constant(1),26,Random,0.00036790057303714383
Constant(1),26,TfT,0.15116755005025645
Constant(1),26,SuspiciousTfT,0.0007917150706127382
Constant(1),26,TFT2,0.15654450329195602
Constant(1),26,Grim,0.12473931622205954
Constant(1),26,GenerousTfT,0.1621541254504343
Constant(1),26,ContriteTfT,0.15116755005025637
Constant(1),26,Pavlov,0.12668681674239524
Constant(1),27,AllC,0.1264134724524444
Constant(1),27,AllD,5.087900121861841e-07
Constant(1),27,Random,0.0002920247828188769
Constant(1),27,TfT,0.15120300907325346
Constant(1),27,SuspiciousTfT,0.0006535498055694179
Constant(1),27,TFT2,0.15659464332176182
Constant(1),27,Grim,0.12472984503960664
Constant(1),27,GenerousTfT,0.16221028980104224
Constant(1),27,ContriteTfT,0.15120300907325337
Constant(1),27,Pavlov,0.1266996478602377
Constant(1),28,AllC,0.1264413837132355
Constant(1),28,AllD,3.1315445007535133e-07
Constant(1),28,Random,0.00023179253719206249
Constant(1),28,TfT,0.1512318484841595
Constant(1),28,SuspiciousTfT,0.0005395166711916508
Constant(1),28,TFT2,0.15663580178726208
Constant(1),28,Grim,0.12472134569662292
Constant(1),28,GenerousTfT,0.16225626123124534
Constant(1),28,ContriteTfT,0.1512318484841594
Constant(1),28,Pavlov,0.1267098882404815
Constant(1),29,AllC,0.1264644487720469
Constant(1),29,AllD,1.927339941473137e-07
Constant(1),29,Random,0.00018398056799347542
Constant(1),29,TfT,0.1512553151590001
Constant(1),29,SuspiciousTfT,0.00044539481131986947
Constant(1),29,TFT2,0.15666959665283917
Constant(1),29,Grim,0.12471379037307628
Constant(1),29,GenerousTfT,0.1622939016352479
Constant(1),29,ContriteTfT,0.15125531515899998
Constant(1),29,Pavlov,0.12671806413548214
Constant(1),30,AllC,0.12648350931699953
Constant(1),30,AllD,1.1861577208478627e-07
Constant(1),30,Random,0.00014602895383188495
Constant(1),30,TfT,0.15127441857106758
Constant(1),30,SuspiciousTfT,0.00036770330077630484
Constant(1),30,TFT2,0.1566973521603256
Constant(1),30,Grim,0.12470712631294115
Constant(1),30,GenerousTfT,0.1623247300835978
Constant(1),30,ContriteTfT,0.15127441857106746
Constant(1),30,Pavlov,0.12672459411362053
Constant(1),31,AllC,0.1264992606755152
Constant(1),31,AllD,7.299860425406404e-08
Constant(1),31,Random,0.00011590491288587863
Constant(1),31,TfT,0.15128997661896948
Constant(1),31,SuspiciousTfT,0.00030357096977043336
Constant(1),31,TFT2,0.15672015275558368
Constant(1),31,Grim,0.12470128653774684
Constant(1),31,GenerousTfT,0.16234998659984548
Constant(1),31,ContriteTfT,0.15128997661896937
Constant(1),31,Pavlov,0.12672981131210942
Constant(1),32,AllC,0.12651227734175918
Constant(1),32,AllD,4.492390176682999e-08
Constant(1),32,Random,9.19944430178581e-05
Constant(1),32,TfT,0.15130265243895155
Constant(1),32,SuspiciousTfT,0.00025062925241121534
Constant(1),32,TFT2,0.15673888693918958
Constant(1),32,Grim,0.12469619729406109
Constant(1),32,GenerousTfT,0.16237068390247117
Constant(1),32,ContriteTfT,0.15130265243895144
Constant(1),32,Pavlov,0.12673398102528505
Constant(1),33,AllC,0.12652303402273204
Constant(1),33,AllD,2.7646066062152203e-08
Constant(1),33,Random,7.301616282847089e-05
Constant(1),33,TfT,0.15131298402476817
Constant(1),33,SuspiciousTfT,0.00020692395697329184
Constant(1),33,TFT2,0.15675428297808458
Constant(1),33,Grim,0.12469178312516326
Constant(1),33,GenerousTfT,0.16238764943125128
Constant(1),33,ContriteTfT,0.15131298402476806
Constant(1),33,Pavlov,0.1267373146273648
Constant(1),34,AllC,0.126531922999966
Constant(1),34,AllD,1.7013115277046575e-08
Constant(1),34,Random,5.795283381999231e-05
Constant(1),34,TfT,0.1513214080941427
Constant(1),34,SuspiciousTfT,0.00017084259291835625
Constant(1),34,TFT2,0.15676693802517294
Constant(1),34,Grim,0.12468797022346757
Constant(1),34,GenerousTfT,0.16240155951561044
Constant(1),34,ContriteTfT,0.15132140809414257
Constant(1),34,Pavlov,0.12673998060764408
Constant(1),35,AllC,0.12653926845855445
Constant(1),35,AllD,1.0469604262180206e-08
Constant(1),35,Random,4.599695281941541e-05
Constant(1),35,TfT,0.15132827934260804
Constant(1),35,SuspiciousTfT,0.00014105449359061998
Constant(1),35,TFT2,0.15677734188822895
Constant(1),35,Grim,0.1246846885481479
Constant(1),35,GenerousTfT,0.16241296717747855
Constant(1),35,ContriteTfT,0.1513282793426079
Constant(1),35,Pavlov,0.12674211332635998
Constant(1),36,AllC,0.12654533831764078
Constant(1),36,AllD,6.442784368812558e-09
Constant(1),36,Random,3.650753437291113e-05
Constant(1),36,TfT,0.1513338859923876
Constant(1),36,SuspiciousTfT,0.00011646146801108557
Constant(1),36,TFT2,0.15678589644803673
Constant(1),36,Grim,0.12468187306509934
Constant(1),36,GenerousTfT,0.1624223247709905
Constant(1),36,ContriteTfT,0.15133388599238745
Constant(1),36,Pavlov,0.1267438199682894
Constant(1),37,AllC,0.12655035400088965
Constant(1),37,AllD,3.96473892984317e-09
Constant(1),37,Random,2.8975788249022898e-05
Constant(1),37,TfT,0.15133846236068232
Constant(1),37,SuspiciousTfT,9.615712017962162e-05
Constant(1),37,TFT2,0.1567929315337062
Constant(1),37,Grim,0.12467946437189989
Constant(1),37,GenerousTfT,0.16243000242967742
Constant(1),37,ContriteTfT,0.15133846236068219
Constant(1),37,Pavlov,0.12674518606929477
Constant(1),38,AllC,0.12655449850748876
Constant(1),38,AllD,2.439797851399548e-09
Constant(1),38,Random,2.2997865258846343e-05
Constant(1),38,TfT,0.15134219902690113
Constant(1),38,SuspiciousTfT,7.939330610289854e-05
Constant(1),38,TFT2,0.15679871790963146
Constant(1),38,Grim,0.12467740890019814
Constant(1),38,GenerousTfT,0.1624363031061357
Constant(1),38,ContriteTfT,0.151342199026901
Constant(1),38,Pavlov,0.12674627991158427
Constant(1),39,AllC,0.1265579230804628
Constant(1),39,AllD,1.5013840179171155e-09
Constant(1),39,Random,1.825321820203695e-05
Constant(1),39,TfT,0.15134525106347171
Constant(1),39,SuspiciousTfT,6.555247077568746e-05
Constant(1),39,TFT2,0.1568034779053215
Constant(1),39,Grim,0.1246756588356997
Constant(1),39,GenerousTfT,0.16244147483994453
Constant(1),39,ContriteTfT,0.15134525106347158
Constant(1),39,Pavlov,0.1267471560212664
Constant(1),40,AllC,0.12656075271682143
Constant(1),40,AllD,9.239080799711232e-10
Constant(1),40,Random,1.4487422553939117e-05
Constant(1),40,TfT,0.15134774470340331
Constant(1),40,SuspiciousTfT,5.412483047179473e-05
Constant(1),40,TFT2,0.15680739412002473
Constant(1),40,Grim,0.12467417185707304
Constant(1),40,GenerousTfT,0.16244572076938535
Constant(1),40,ContriteTfT,0.15134774470340318
Constant(1),40,Pavlov,0.1267478579529552
Constant(1),41,AllC,0.12656309072115493
Constant(1),41,AllD,5.685452438673648e-10
Constant(1),41,Random,1.1498538659464388e-05
Constant(1),41,TfT,0.1513497827447533
Constant(1),41,SuspiciousTfT,4.468954885299149e-05
Constant(1),41,TFT2,0.15681061655380737
Constant(1),41,Grim,0.12467291076625527
Constant(1),41,GenerousTfT,0.1624492073054672
Constant(1),41,ContriteTfT,0.1513497827447532
Constant(1),41,Pavlov,0.126748420507751
Constant(1),42,AllC,0.12656502246901247
Constant(1),42,AllD,3.498652258732001e-10
Constant(1),42,Random,9.12628590181675e-06
Constant(1),42,TfT,0.15135144893372587
Constant(1),42,SuspiciousTfT,3.689920583895942e-05
Constant(1),42,TFT2,0.15681326845172733
Constant(1),42,Grim,0.12467184306129962
Constant(1),42,GenerousTfT,0.16245207080828922
Constant(1),42,ContriteTfT,0.15135144893372574
Constant(1),42,Pavlov,0.12674887150061367
Constant(1),43,AllC,0.1265666185173579
Constant(1),43,AllD,2.152960959515464e-10
Constant(1),43,Random,7.243449376978134e-06
Constant(1),43,TfT,0.1513528115212883
Constant(1),43,SuspiciousTfT,3.0466981818712542e-05
Constant(1),43,TFT2,0.15681545109496867
Constant(1),43,Grim,0.12467094048718262
Constant(1),43,GenerousTfT,0.16245442304222663
Constant(1),43,ContriteTfT,0.15135281152128813
Constant(1),43,Pavlov,0.12674923316919603
Constant(1),44,AllC,0.12656793717547046
Constant(1),44,AllD,1.324863901285712e-10
Constant(1),44,Random,5.749058885461164e-06
Constant(1),44,TfT,0.15135392615057688
Constant(1),44,SuspiciousTfT,2.5156081455504235e-05
