multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),GenerousTfT,AllD,1,178.0,288.0,0.11,0.0,200
Constant(1),GenerousTfT,Random,1,402.0,482.0,0.525,0.445,200
Constant(1),GenerousTfT,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,SuspiciousTfT,1,594.0,599.0,0.985,0.98,200
Constant(1),GenerousTfT,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,GenerousTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),GenerousTfT,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,AllC,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,AllD,1,199.0,204.0,0.005,0.0,200
Constant(1),ContriteTfT,Random,1,422.0,427.0,0.45,0.445,200
Constant(1),ContriteTfT,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,SuspiciousTfT,1,500.0,500.0,0.5,0.5,200
Constant(1),ContriteTfT,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,GenerousTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),ContriteTfT,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,AllC,1,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,AllD,1,100.0,600.0,0.5,0.0,200
Constant(1),Pavlov,Random,1,418.0,458.0,0.485,0.445,200
Constant(1),Pavlov,TfT,1,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,SuspiciousTfT,1,401.0,401.0,0.335,0.335,200
Constant(1),Pavlov,TFT2,1,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,Grim,1,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,GenerousTfT,1,600.0,600.0,1.0,1.0,200
